league,season,game,team,minute,score,player1,player2,event_type
ENG-Premier League,2122,2021-10-02 Wolves-Newcastle United,Wolverhampton Wanderers,90+3’,2:1,Adama Traoré,Hwang Hee-chan,substitute_in
ENG-Premier League,2122,2021-11-20 Wolves-West Ham United,Wolverhampton Wanderers,54’,0:0,Rúben Neves,,yellow_card
ENG-Premier League,2122,2021-11-20 Wolves-West Ham United,Wolverhampton Wanderers,58’,1:0,Raúl Jiménez,Daniel Podence,goal
ENG-Premier League,2122,2021-11-20 Wolves-West Ham United,West Ham United,59’,1:0,Manuel Lanzini,Pablo Fornals,substitute_in
ENG-Premier League,2122,2021-11-20 Wolves-West Ham United,West Ham United,71’,1:0,Nikola Vlašić,Saïd Benrahma,substitute_in
ENG-Premier League,2122,2021-11-20 Wolves-West Ham United,West Ham United,71’,1:0,Andriy Yarmolenko,Jarrod Bowen,substitute_in
ENG-Premier League,2122,2021-11-20 Wolves-West Ham United,Wolverhampton Wanderers,76’,1:0,Adama Traoré,Daniel Podence,substitute_in
ENG-Premier League,2122,2021-11-20 Wolves-West Ham United,West Ham United,86’,1:0,Declan Rice,,yellow_card
ENG-Premier League,2122,2021-11-20 Wolves-West Ham United,Wolverhampton Wanderers,87’,1:0,Leander Dendoncker,Hwang Hee-chan,substitute_in
ENG-Premier League,2122,2022-03-05 Newcastle United-Brighton,Newcastle United,12’,1:0,Ryan Fraser,,goal
ENG-Premier League,2122,2022-03-05 Newcastle United-Brighton,Newcastle United,14’,2:0,Fabian Schär,Ryan Fraser,goal
ENG-Premier League,2122,2022-03-05 Newcastle United-Brighton,Brighton & Hove Albion,55’,2:1,Lewis Dunk,Pascal Groß,goal
ENG-Premier League,2122,2022-03-05 Newcastle United-Brighton,Brighton & Hove Albion,59’,2:1,Solly March,Tariq Lamptey,substitute_in
ENG-Premier League,2122,2022-03-05 Newcastle United-Brighton,Brighton & Hove Albion,59’,2:1,Neal Maupay,Jakub Moder,substitute_in
ENG-Premier League,2122,2022-03-05 Newcastle United-Brighton,Brighton & Hove Albion,63’,2:1,Shane Duffy,,yellow_card
ENG-Premier League,2122,2022-03-05 Newcastle United-Brighton,Newcastle United,64’,2:1,Allan Saint-Maximin,Jacob Murphy,substitute_in
ENG-Premier League,2122,2022-03-05 Newcastle United-Brighton,Newcastle United,79’,2:1,Bruno Guimarães,Ryan Fraser,substitute_in
ENG-Premier League,2122,2022-03-05 Newcastle United-Brighton,Brighton & Hove Albion,79’,2:1,Alexis Mac Allister,Steven Alzate,substitute_in
ENG-Premier League,2122,2022-03-05 Newcastle United-Brighton,Newcastle United,87’,2:1,Joelinton,,yellow_card
ENG-Premier League,2122,2022-03-05 Newcastle United-Brighton,Newcastle United,90+4’,2:1,Sean Longstaff,Joe Willock,substitute_in
ENG-Premier League,2122,2022-03-17 Everton-Newcastle United,Everton,64’,0:0,Richarlison,,yellow_card
ENG-Premier League,2122,2022-03-17 Everton-Newcastle United,Newcastle United,71’,0:0,Allan Saint-Maximin,Miguel Almirón,substitute_in
ENG-Premier League,2122,2022-03-17 Everton-Newcastle United,Everton,76’,0:0,Anthony Gordon,,yellow_card
ENG-Premier League,2122,2022-03-17 Everton-Newcastle United,Everton,76’,0:0,Dominic Calvert-Lewin,Demarai Gray,substitute_in
ENG-Premier League,2122,2022-03-17 Everton-Newcastle United,Newcastle United,76’,0:0,Emil Krafth,,yellow_card
ENG-Premier League,2122,2022-03-17 Everton-Newcastle United,Everton,83’,0:0,Allan,,red_card
ENG-Premier League,2122,2022-03-17 Everton-Newcastle United,Newcastle United,85’,0:0,Jacob Murphy,Ryan Fraser,substitute_in
ENG-Premier League,2122,2022-03-17 Everton-Newcastle United,Everton,88’,0:0,André Gomes,Richarlison,substitute_in
ENG-Premier League,2122,2022-03-17 Everton-Newcastle United,Everton,90+15’,1:0,Andros Townsend,Anthony Gordon,substitute_in
ENG-Premier League,2122,2022-03-17 Everton-Newcastle United,Newcastle United,90+3’,0:0,Javier Manquillo,Emil Krafth,substitute_in
ENG-Premier League,2122,2022-03-17 Everton-Newcastle United,Everton,90+9’,1:0,Alex Iwobi,Dominic Calvert-Lewin,goal
ENG-Premier League,2122,2021-12-12 Crystal Palace-Everton,Crystal Palace,41’,1:0,Conor Gallagher,Jordan Ayew,goal
ENG-Premier League,2122,2021-12-12 Crystal Palace-Everton,Everton,58’,1:0,Anthony Gordon,Fabian Delph,substitute_in
ENG-Premier League,2122,2021-12-12 Crystal Palace-Everton,Everton,58’,1:0,Salomón Rondón,Richarlison,substitute_in
ENG-Premier League,2122,2021-12-12 Crystal Palace-Everton,Crystal Palace,62’,2:0,James Tomkins,Will Hughes,goal
ENG-Premier League,2122,2021-12-12 Crystal Palace-Everton,Everton,70’,2:1,Salomón Rondón,,goal
ENG-Premier League,2122,2021-12-12 Crystal Palace-Everton,Everton,72’,2:1,Abdoulaye Doucouré,,yellow_card
ENG-Premier League,2122,2021-12-12 Crystal Palace-Everton,Crystal Palace,73’,2:1,Jeffrey Schlupp,Will Hughes,substitute_in
ENG-Premier League,2122,2021-12-12 Crystal Palace-Everton,Crystal Palace,74’,2:1,Christian Benteke,Odsonne Édouard,substitute_in
ENG-Premier League,2122,2021-12-12 Crystal Palace-Everton,Everton,76’,2:1,Demarai Gray,,yellow_card
ENG-Premier League,2122,2021-12-12 Crystal Palace-Everton,Crystal Palace,90+1’,2:1,Nathaniel Clyne,Tyrick Mitchell,substitute_in
ENG-Premier League,2122,2021-12-12 Crystal Palace-Everton,Crystal Palace,90+3’,3:1,Conor Gallagher,,goal
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Tottenham Hotspur,10’,0:1,Matt Doherty,Ryan Sessegnon,goal
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Tottenham Hotspur,15’,0:2,Dejan Kulusevski,Matt Doherty,goal
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Tottenham Hotspur,27’,0:3,Harry Kane,Pierre Højbjerg,goal
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Leeds United,46’,0:3,Mateusz Klich,Pascal Struijk,substitute_in
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Leeds United,46’,0:3,Rodrigo,Jack Harrison,substitute_in
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Tottenham Hotspur,48’,0:3,Ryan Sessegnon,,yellow_card
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Leeds United,52’,0:3,Mateusz Klich,,yellow_card
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Leeds United,53’,0:3,Stuart Dallas,,yellow_card
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Leeds United,54’,0:3,Junior Firpo,,yellow_card
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Leeds United,77’,0:3,Rodrigo,,yellow_card
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Leeds United,78’,0:3,Jamie Shackleton,Junior Firpo,substitute_in
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Tottenham Hotspur,78’,0:3,Emerson,Ryan Sessegnon,substitute_in
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Tottenham Hotspur,78’,0:3,Steven Bergwijn,Dejan Kulusevski,substitute_in
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Tottenham Hotspur,85’,0:4,Son Heung-min,Harry Kane,goal
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Tottenham Hotspur,87’,0:4,Dane Scarlett,Son Heung-min,substitute_in
ENG-Premier League,2122,2022-02-26 Leeds United-Tottenham Hotspur,Tottenham Hotspur,89’,0:4,Ben Davies,,yellow_card
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Tottenham Hotspur,18’,1:0,Jan Bednarek,,own_goal
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Southampton,23’,1:1,Armando Broja,Romain Perraud,goal
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Tottenham Hotspur,59’,1:1,Davinson Sánchez,,yellow_card
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Tottenham Hotspur,60’,1:1,Rodrigo Bentancur,Pierre Højbjerg,substitute_in
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Tottenham Hotspur,70’,2:1,Son Heung-min,Lucas Moura,goal
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Tottenham Hotspur,76’,2:1,Dejan Kulusevski,Lucas Moura,substitute_in
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Southampton,76’,2:1,Romain Perraud,,yellow_card
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Southampton,77’,2:1,Oriol Romeu,,yellow_card
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Southampton,79’,2:2,Mohamed Elyounoussi,James Ward-Prowse,goal
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Southampton,82’,2:3,Che Adams,James Ward-Prowse,goal
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Tottenham Hotspur,83’,2:3,Steven Bergwijn,Sergio Reguilón,substitute_in
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Southampton,84’,2:3,Fraser Forster,,yellow_card
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Southampton,88’,2:3,Shane Long,Che Adams,substitute_in
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Tottenham Hotspur,90+4’,2:3,Cristian Romero,,yellow_card
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Southampton,90+7’,2:3,Ibrahima Diallo,Mohamed Elyounoussi,substitute_in
ENG-Premier League,2122,2022-02-09 Tottenham Hotspur-Southampton,Southampton,90’,2:3,Theo Walcott,Armando Broja,substitute_in
ENG-Premier League,2122,2021-11-27 Arsenal-Newcastle United,Newcastle United,44’,0:0,Matt Ritchie,,yellow_card
ENG-Premier League,2122,2021-11-27 Arsenal-Newcastle United,Newcastle United,48’,0:0,Emil Krafth,,yellow_card
ENG-Premier League,2122,2021-11-27 Arsenal-Newcastle United,Arsenal,56’,1:0,Bukayo Saka,Nuno Tavares,goal
ENG-Premier League,2122,2021-11-27 Arsenal-Newcastle United,Newcastle United,63’,1:0,Jamaal Lascelles,,yellow_card
ENG-Premier League,2122,2021-11-27 Arsenal-Newcastle United,Arsenal,64’,1:0,Gabriel Martinelli,Bukayo Saka,substitute_in
ENG-Premier League,2122,2021-11-27 Arsenal-Newcastle United,Arsenal,66’,2:0,Gabriel Martinelli,Takehiro Tomiyasu,goal
ENG-Premier League,2122,2021-11-27 Arsenal-Newcastle United,Newcastle United,67’,2:0,Miguel Almirón,Matt Ritchie,substitute_in
ENG-Premier League,2122,2021-11-27 Arsenal-Newcastle United,Newcastle United,67’,2:0,Jacob Murphy,Joelinton,substitute_in
ENG-Premier League,2122,2021-11-27 Arsenal-Newcastle United,Arsenal,76’,2:0,Pierre-Emerick Aubameyang,,yellow_card
ENG-Premier League,2122,2021-11-27 Arsenal-Newcastle United,Arsenal,76’,2:0,Alexandre Lacazette,Pierre-Emerick Aubameyang,substitute_in
ENG-Premier League,2122,2021-11-27 Arsenal-Newcastle United,Arsenal,85’,2:0,Mohamed Elneny,Thomas Partey,substitute_in
ENG-Premier League,2122,2021-11-27 Arsenal-Newcastle United,Newcastle United,88’,2:0,Isaac Hayden,Jonjo Shelvey,substitute_in
ENG-Premier League,2122,2021-08-21 Brighton-Watford,Brighton & Hove Albion,10’,1:0,Shane Duffy,Pascal Groß,goal
ENG-Premier League,2122,2021-08-21 Brighton-Watford,Brighton & Hove Albion,41’,2:0,Neal Maupay,Yves Bissouma,goal
ENG-Premier League,2122,2021-08-21 Brighton-Watford,Brighton & Hove Albion,46’,2:0,Aaron Connolly,Neal Maupay,substitute_in
ENG-Premier League,2122,2021-08-21 Brighton-Watford,Watford,46’,2:0,Cucho,Imran Louza,substitute_in
ENG-Premier League,2122,2021-08-21 Brighton-Watford,Brighton & Hove Albion,62’,2:0,Adam Webster,,yellow_card
ENG-Premier League,2122,2021-08-21 Brighton-Watford,Brighton & Hove Albion,65’,2:0,Shane Duffy,,yellow_card
ENG-Premier League,2122,2021-08-21 Brighton-Watford,Watford,65’,2:0,Joshua King,Craig Cathcart,substitute_in
ENG-Premier League,2122,2021-08-21 Brighton-Watford,Brighton & Hove Albion,72’,2:0,Enock Mwepu,Leandro Trossard,substitute_in
ENG-Premier League,2122,2021-08-21 Brighton-Watford,Watford,78’,2:0,Troy Deeney,Ken Sema,substitute_in
ENG-Premier League,2122,2021-08-21 Brighton-Watford,Brighton & Hove Albion,80’,2:0,Jakub Moder,Adam Lallana,substitute_in
ENG-Premier League,2122,2021-08-21 Brighton-Watford,Brighton & Hove Albion,86’,2:0,Enock Mwepu,,yellow_card
ENG-Premier League,2122,2021-08-21 Brighton-Watford,Brighton & Hove Albion,90+1’,2:0,Solly March,,yellow_card
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Brentford,55’,0:0,David Raya,,yellow_card
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Leeds United,56’,0:1,Raphinha,,penalty_goal
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Brentford,58’,0:1,Josh Dasilva,Mathias Jensen,substitute_in
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Brentford,63’,0:1,Sergi Canós,Rico Henry,substitute_in
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Brentford,71’,0:1,Shandon Baptiste,Mads Bech Sørensen,substitute_in
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Leeds United,71’,0:1,Pascal Struijk,Joe Gelhardt,substitute_in
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Brentford,78’,1:1,Sergi Canós,Yoane Wissa,goal
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Brentford,78’,1:1,Sergi Canós,,yellow_card
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Brentford,79’,1:1,Ivan Toney,,yellow_card
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Brentford,80’,1:1,Sergi Canós,,yellow_red_card
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Leeds United,82’,1:1,Kalvin Phillips,,yellow_card
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Leeds United,85’,1:1,Mateusz Klich,Sam Greenwood,substitute_in
ENG-Premier League,2122,2022-05-22 Brentford-Leeds United,Leeds United,90+4’,1:2,Jack Harrison,,goal
ENG-Premier League,2122,2022-01-22 Leeds United-Newcastle United,Newcastle United,42’,0:0,Sean Longstaff,Joelinton,substitute_in
ENG-Premier League,2122,2022-01-22 Leeds United-Newcastle United,Leeds United,57’,0:0,Daniel James,,yellow_card
ENG-Premier League,2122,2022-01-22 Leeds United-Newcastle United,Newcastle United,57’,0:0,Allan Saint-Maximin,,yellow_card
ENG-Premier League,2122,2022-01-22 Leeds United-Newcastle United,Newcastle United,62’,0:0,Paul Dummett,,yellow_card
ENG-Premier League,2122,2022-01-22 Leeds United-Newcastle United,Newcastle United,63’,0:0,Javier Manquillo,Paul Dummett,substitute_in
ENG-Premier League,2122,2022-01-22 Leeds United-Newcastle United,Leeds United,67’,0:0,Stuart Dallas,,yellow_card
ENG-Premier League,2122,2022-01-22 Leeds United-Newcastle United,Newcastle United,68’,0:0,Ciaran Clark,Jamaal Lascelles,substitute_in
ENG-Premier League,2122,2022-01-22 Leeds United-Newcastle United,Leeds United,71’,0:0,Tyler Roberts,Daniel James,substitute_in
ENG-Premier League,2122,2022-01-22 Leeds United-Newcastle United,Leeds United,74’,0:0,Diego Llorente,,yellow_card
ENG-Premier League,2122,2022-01-22 Leeds United-Newcastle United,Newcastle United,75’,0:1,Jonjo Shelvey,,goal
ENG-Premier League,2122,2022-01-22 Leeds United-Newcastle United,Leeds United,80’,0:1,Joe Gelhardt,Mateusz Klich,substitute_in
ENG-Premier League,2122,2022-01-22 Leeds United-Newcastle United,Leeds United,84’,0:1,Rodrigo,,yellow_card
ENG-Premier League,2122,2022-01-11 Southampton-Brentford,Brentford,23’,1:1,Vitaly Janelt,Bryan Mbeumo,goal
ENG-Premier League,2122,2022-01-11 Southampton-Brentford,Southampton,37’,2:1,Álvaro Fernández,,own_goal
ENG-Premier League,2122,2022-01-11 Southampton-Brentford,Brentford,45+2’,2:1,Ivan Toney,,yellow_card
ENG-Premier League,2122,2022-01-11 Southampton-Brentford,Southampton,49’,3:1,Armando Broja,Oriol Romeu,goal
ENG-Premier League,2122,2022-01-11 Southampton-Brentford,Brentford,56’,3:1,Yoane Wissa,Shandon Baptiste,substitute_in
ENG-Premier League,2122,2022-01-11 Southampton-Brentford,Southampton,5’,1:0,Jan Bednarek,James Ward-Prowse,goal
ENG-Premier League,2122,2022-01-11 Southampton-Brentford,Southampton,65’,3:1,Che Adams,Nathan Redmond,substitute_in
ENG-Premier League,2122,2022-01-11 Southampton-Brentford,Brentford,68’,3:1,Mathias Jensen,Ethan Pinnock,substitute_in
ENG-Premier League,2122,2022-01-11 Southampton-Brentford,Southampton,70’,3:1,Stuart Armstrong,Nathan Tella,substitute_in
ENG-Premier League,2122,2022-01-11 Southampton-Brentford,Southampton,70’,4:1,Che Adams,Ibrahima Diallo,goal
ENG-Premier League,2122,2022-01-11 Southampton-Brentford,Brentford,76’,4:1,Finley Stevens,Sergi Canós,substitute_in
ENG-Premier League,2122,2022-01-11 Southampton-Brentford,Southampton,78’,4:1,Adam Armstrong,Armando Broja,substitute_in
ENG-Premier League,2122,2022-02-26 Crystal Palace-Burnley,Burnley,30’,1:0,Josh Brownhill,,yellow_card
ENG-Premier League,2122,2022-02-26 Crystal Palace-Burnley,Burnley,46’,1:1,Luka Milivojević,,own_goal
ENG-Premier League,2122,2022-02-26 Crystal Palace-Burnley,Crystal Palace,60’,1:1,Jean-Philippe Mateta,Luka Milivojević,substitute_in
ENG-Premier League,2122,2022-02-26 Crystal Palace-Burnley,Burnley,60’,1:1,Ashley Westwood,Jack Cork,substitute_in
ENG-Premier League,2122,2022-02-26 Crystal Palace-Burnley,Burnley,60’,1:1,Charlie Taylor,Erik Pieters,substitute_in
ENG-Premier League,2122,2022-02-26 Crystal Palace-Burnley,Burnley,72’,1:1,James Tarkowski,,yellow_card
ENG-Premier League,2122,2022-02-26 Crystal Palace-Burnley,Crystal Palace,84’,1:1,Cheikhou Kouyaté,Jeffrey Schlupp,substitute_in
ENG-Premier League,2122,2022-02-26 Crystal Palace-Burnley,Burnley,88’,1:1,Ashley Barnes,Jay Rodriguez,substitute_in
ENG-Premier League,2122,2022-02-26 Crystal Palace-Burnley,Crystal Palace,9’,1:0,Jeffrey Schlupp,Michael Olise,goal
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Manchester United,45’,0:0,Scott McTominay,,yellow_card
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Manchester United,49’,0:0,Marcus Rashford,,yellow_card
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Manchester United,50’,0:1,Jadon Sancho,,goal
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Chelsea,53’,0:1,Reece James,,yellow_card
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Manchester United,64’,0:1,Cristiano Ronaldo,Jadon Sancho,substitute_in
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Chelsea,69’,1:1,Jorginho,,penalty_goal
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Manchester United,77’,1:1,Bruno Fernandes,,yellow_card
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Manchester United,77’,1:1,Jesse Lingard,Marcus Rashford,substitute_in
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Chelsea,78’,1:1,Mason Mount,Marcos Alonso,substitute_in
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Chelsea,78’,1:1,Christian Pulisic,Callum Hudson-Odoi,substitute_in
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Chelsea,82’,1:1,Romelu Lukaku,Timo Werner,substitute_in
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Manchester United,89’,1:1,Donny van de Beek,Bruno Fernandes,substitute_in
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Manchester United,90+2’,1:1,Cristiano Ronaldo,,yellow_card
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Chelsea,90+5’,1:1,Jorginho,,yellow_card
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester Utd,Manchester United,90+6’,1:1,Eric Bailly,,yellow_card
ENG-Premier League,2122,2021-12-28 Southampton-Tottenham Hotspur,Southampton,13’,0:0,Kyle Walker-Peters,,yellow_card
ENG-Premier League,2122,2021-12-28 Southampton-Tottenham Hotspur,Southampton,25’,1:0,James Ward-Prowse,,goal
ENG-Premier League,2122,2021-12-28 Southampton-Tottenham Hotspur,Southampton,27’,1:0,Mohammed Salisu,,yellow_card
ENG-Premier League,2122,2021-12-28 Southampton-Tottenham Hotspur,Southampton,39’,1:0,Mohammed Salisu,,yellow_red_card
ENG-Premier League,2122,2021-12-28 Southampton-Tottenham Hotspur,Tottenham Hotspur,41’,1:1,Harry Kane,,penalty_goal
ENG-Premier League,2122,2021-12-28 Southampton-Tottenham Hotspur,Tottenham Hotspur,45+1’,1:1,Sergio Reguilón,,yellow_card
ENG-Premier League,2122,2021-12-28 Southampton-Tottenham Hotspur,Tottenham Hotspur,46’,1:1,Matt Doherty,Sergio Reguilón,substitute_in
ENG-Premier League,2122,2021-12-28 Southampton-Tottenham Hotspur,Southampton,51’,1:1,Adam Armstrong,,yellow_card
ENG-Premier League,2122,2021-12-28 Southampton-Tottenham Hotspur,Tottenham Hotspur,62’,1:1,Lucas Moura,Dele Alli,substitute_in
